Try,PostgreSQL Join,MySQL Join,MongoDB Join,PostgreSQL Join after Indexing,MySQL Join after Indexing,MongoDB Join after Indexing
1,56199334,77593188,7475850508,37119415,55865828,1432489227
2,66625192,134762624,26984760029,178054710,114549513,4486350270
3,82540164,280347104,62445550186,89755739,213090557,9138076056
4,106396614,275564003,114842432495,107985038,248806813,15716615401
5,132521871,339866521,188334968675,122793254,426575104,24214882981
6,171123815,396873333,275137116839,163410915,392196719,37690968954
7,177096856,500040897,381764826795,174135408,477270163,53004508091
8,208029226,494764342,511741510970,194496254,491721394,79283668480
9,276725686,558075921,829785647606,273640274,552207356,100416405296
10,275142375,626761633,1257796021626,379571457,623492060,149930716600
