Try,PostgreSQL Create Index,MySQL Create Index,MongoDB Create Index,PostgreSQL Drop Index,MySQL Drop Index,MongoDB Drop Index
1,52959058,276956356,1346632919,4469114,172026503,212653693
2,61163717,228494721,1487030778,4051817,153047507,208235685
3,81817366,232972077,1491056457,3931201,160240381,197748012
4,109389342,269181663,1605039173,3720414,165971102,194906754
5,123957426,315751571,1609306735,3837652,155368720,193416415
6,120874986,289973036,1737827697,4917904,166824974,219200215
7,141375929,359974692,1846976213,3993652,234072598,203077863
8,201267422,351449937,1782339806,4318894,160534571,215785045
9,227260342,346845118,1880786818,6872226,159062551,209627109
10,265934552,419822334,1912583917,8956293,160023233,204105528
